State_District_Name,State_Name,YY_Crude_Death_Rate_Cdr_Total_Female,AA_Sample_Units_Total,YY_Crude_Death_Rate_Cdr_Rural_Person,AA_Sample_Units_Rural,TT_Children_Aged_12_23_Months_Who_Have_Received_Measles_Vaccine_Total,YY_Crude_Death_Rate_Cdr_Rural_Male,AA_Sample_Units_Urban,QQ_Institutional_Delivery_Rural,TT_Children_Aged_12_23_Months_Who_Have_Received_Measles_Vaccine_Rural,YY_Crude_Death_Rate_Cdr_Rural_Female,AA_Households_Total,VV_Children_Who_Received_Foods_Other_Than_Breast_Milk_During_First_6_Months_Vegetables_Fruits_Urban,YY_Crude_Death_Rate_Cdr_Urban_Person,AA_Households_Rural,TT_Children_Aged_12_23_Months_Fully_Immunized_Total,YY_Crude_Death_Rate_Cdr_Urban_Male,QQ_Delivery_At_Government_Institution_Rural,TT_Children_Aged_12_23_Months_Fully_Immunized_Rural,YY_Crude_Death_Rate_Cdr_Urban_Female,AA_Population_Total,YY_Post_Neo_Natal_Mortality_Rate_Total,YY_Post_Neo_Natal_Mortality_Rate_Rural,AA_Population_Urban,LL_Crude_Birth_Rate_Cbr_Total,RR_Mothers_Who_Received_Post_Natal_Check_Up_Within_48_Hrs_Of_Delivery_Total,AA_Ever_Married_Women_Aged_15_49_Years_Total,PP_Mothers_Who_Received_Anc_From_Govt_Source_Total,ZZ_Crude_Birth_Rate_Total_Upper_Limit,AA_Ever_Married_Women_Aged_15_49_Years_Rural,TT_Children_Who_Did_Not_Receive_Any_Vaccination_Total,AA_Ever_Married_Women_Aged_15_49_Years_Urban,LL_Natural_Growth_Rate_Total,ZZ_Crude_Birth_Rate_Rural_Upper_Limit,AA_Currently_Married_Women_Aged_15_49_Years_Total,TT_Children_Aged_12_23_Months_Who_Have_Received_Bcg_Total,AA_Currently_Married_Women_Aged_15_49_Years_Rural,TT_Children_Aged_12_23_Months_Who_Have_Received_Bcg_Rural,BB_Currently_Married_Illiterate_Women_Aged_15_49_Years_Rural,ZZ_Crude_Death_Rate_Total_Lower_Limit,AA_Children_12_23_Months_Total,TT_Children_Aged_12_23_Months_Who_Have_Received_3_Doses_Of_Polio_Vaccine_Total,ZZ_Crude_Death_Rate_Rural_Lower_Limit,TT_Children_Aged_12_23_Months_Who_Have_Received_3_Doses_Of_Polio_Vaccine_Rural,ZZ_Crude_Death_Rate_Rural_Upper_Limit,EE_Marriages_Among_Males_Below_Legal_Age_21_Years_Total,YY_Crude_Death_Rate_Cdr_Total_Person,RR_New_Borns_Who_Were_Checked_Up_Within_24_Hrs_Of_Birth_Rural,TT_Children_Aged_12_23_Months_Who_Have_Received_3_Doses_Of_Dpt_Vaccine_Total,YY_Crude_Death_Rate_Cdr_Total_Male
Haridwar,Uttarakhand,6.88,50,7.68,25,68.42,8.15,25,45.57,63.52,7.14,14873,5.44,6.88,8012,60.84,7.29,16.23,54.9,6.44,69213,18.97,21.41,25776,21.94,66.32,12450.0,49.21,24.0,7276.0,14.08,5174,14.55,26.64,11977.0,83.16,7027.0,80.04,56.12,6.61,2506,67.98,6.71,62.88,8.65,7.08,7.39,53.67,68.14,7.84
Sehore,Madhya Pradesh,6.3,32,7.4,24,88.0,8.2,8,90.9,86.7,6.5,5273,5.2,6.0,4146,77.6,6.3,83.9,77.5,5.6,28299,22.48,24.26,5841,26.4,82.3,5389.0,48.6,28.0,4259.0,4.3,1130,19.2,27.8,5155.0,95.5,4086.0,94.9,49.4,6.1,1360,84.3,6.2,84.7,8.6,16.3,7.1,78.9,84.7,7.9
Baleshwar,Odisha,6.0,79,6.6,66,92.75,7.3,13,85.51,92.62,5.9,15412,2.32,7.2,13725,85.43,8.0,80.23,85.61,6.4,65223,12.0,13.0,7299,18.6,89.82,13856.0,62.84,19.6,12307.0,0.3,1549,12.0,20.1,13162.0,98.42,11684.0,98.34,13.76,6.2,2386,94.86,6.1,94.72,7.1,2.8,6.7,88.56,91.61,7.4
Bageshwar,Uttarakhand,5.4,162,6.98,156,87.1,8.72,6,43.78,87.14,5.41,26992,6.25,7.5,26231,82.53,9.6,40.72,82.46,5.27,114613,11.94,12.41,3270,15.03,49.8,22718.0,71.3,15.58,22074.0,3.56,644,8.03,15.7,21279.0,94.23,20688.0,94.12,16.27,6.62,3744,90.86,6.59,90.77,7.36,5.63,7.0,49.57,90.08,8.76
Sawai Madhopur,Rajasthan,6.5,34,7.9,25,72.7,8.5,9,82.1,72.8,7.3,6347,9.9,4.7,5185,49.0,5.6,66.8,47.7,3.8,32486,19.0,20.0,6147,26.8,80.5,6182.0,37.7,28.8,5025.0,3.1,1157,19.6,31.1,5968.0,91.8,4852.0,91.3,69.5,6.3,1367,60.6,7.0,60.2,8.9,37.0,7.1,77.1,56.4,7.8
Sirohi,Rajasthan,6.3,52,7.3,39,73.8,8.1,13,81.9,72.7,6.5,11466,7.3,5.5,10382,66.0,5.8,57.4,64.9,5.1,56009,21.0,22.0,5325,23.8,84.6,10930.0,38.5,25.1,9892.0,7.0,1038,16.7,26.6,10364.0,86.7,9378.0,85.7,71.5,6.5,2088,69.0,6.7,67.8,8.0,20.3,7.0,81.1,70.2,7.8
North Cachar Hills,Assam,5.0,84,7.1,49,75.5,7.8,35,56.0,70.4,6.2,10127,1.6,4.4,4266,56.2,4.7,53.9,57.1,4.0,44787,21.0,25.0,25469,18.3,66.6,7946.0,92.6,19.6,3182.0,5.9,4764,12.7,21.8,7412.0,91.6,3021.0,87.2,27.1,5.1,1312,65.8,6.1,67.2,8.0,5.4,5.6,46.0,64.8,6.2
Mandla,Madhya Pradesh,8.0,59,8.8,50,79.2,9.2,9,61.7,78.2,8.4,10498,15.5,5.2,8831,51.3,6.1,54.5,49.7,4.2,45198,21.74,22.88,7259,25.0,60.2,9418.0,23.6,26.2,7963.0,6.8,1455,16.6,27.3,8789.0,92.3,7444.0,91.9,40.5,7.7,2058,69.8,8.1,68.9,9.5,19.1,8.4,54.1,62.2,8.8
Banda,Uttar Pradesh,8.8,47,9.17,40,76.82,9.56,7,72.71,75.03,8.75,11915,6.59,9.19,10974,43.58,9.31,66.92,40.28,9.05,59266,19.56,17.76,4472,27.42,70.49,10018.0,72.14,28.71,9207.0,3.19,811,18.24,29.65,9620.0,95.08,8855.0,94.23,58.19,8.41,3296,60.36,8.5,56.75,9.84,13.34,9.17,68.78,55.77,9.52
Godda,Jharkhand,6.6,60,6.8,56,76.3,6.9,4,30.3,76.2,6.7,13249,1.95,4.7,12550,55.9,4.7,18.2,55.6,4.7,67445,25.0,26.0,3534,23.2,55.1,12790.0,16.3,24.3,12108.0,4.5,682,16.5,24.6,12224.0,93.7,11569.0,93.7,62.9,6.3,2704,67.7,6.4,67.5,7.2,16.9,6.7,49.9,70.1,6.8
Allahabad,Uttar Pradesh,7.87,54,9.36,36,61.61,10.42,18,55.7,60.89,8.35,11563,17.61,7.38,9098,54.88,8.49,39.93,54.29,6.21,61029,21.81,23.4,12357,25.14,94.75,11068.0,69.06,27.02,8852.0,10.63,2216,16.24,29.83,10603.0,77.08,8513.0,77.3,55.06,8.39,2954,62.0,8.83,61.39,9.9,9.44,8.9,92.48,60.93,9.95
Datia,Madhya Pradesh,6.6,40,6.6,28,75.4,6.5,12,83.7,73.5,6.6,7202,1.8,6.8,4648,63.5,6.8,77.4,61.4,6.8,33458,30.01,30.41,11932,18.8,80.3,6528.0,43.2,20.4,4265.0,6.2,2263,12.2,22.0,6317.0,92.5,4113.0,92.8,49.1,5.8,1189,78.1,5.7,77.6,7.5,21.1,6.6,81.9,76.9,6.6
