State_District_Name,State_Name,YY_Crude_Death_Rate_Cdr_Total_Female,AA_Sample_Units_Total,YY_Crude_Death_Rate_Cdr_Rural_Person,AA_Sample_Units_Rural,TT_Children_Aged_12_23_Months_Who_Have_Received_Measles_Vaccine_Total,YY_Crude_Death_Rate_Cdr_Rural_Male,AA_Sample_Units_Urban,QQ_Institutional_Delivery_Rural,TT_Children_Aged_12_23_Months_Who_Have_Received_Measles_Vaccine_Rural,YY_Crude_Death_Rate_Cdr_Rural_Female,AA_Households_Total,VV_Children_Who_Received_Foods_Other_Than_Breast_Milk_During_First_6_Months_Vegetables_Fruits_Urban,YY_Crude_Death_Rate_Cdr_Urban_Person,AA_Households_Rural,TT_Children_Aged_12_23_Months_Fully_Immunized_Total,YY_Crude_Death_Rate_Cdr_Urban_Male,QQ_Delivery_At_Government_Institution_Rural,TT_Children_Aged_12_23_Months_Fully_Immunized_Rural,YY_Crude_Death_Rate_Cdr_Urban_Female,AA_Population_Total,YY_Post_Neo_Natal_Mortality_Rate_Total,YY_Post_Neo_Natal_Mortality_Rate_Rural,AA_Population_Urban,LL_Crude_Birth_Rate_Cbr_Total,RR_Mothers_Who_Received_Post_Natal_Check_Up_Within_48_Hrs_Of_Delivery_Total,AA_Ever_Married_Women_Aged_15_49_Years_Total,PP_Mothers_Who_Received_Anc_From_Govt_Source_Total,ZZ_Crude_Birth_Rate_Total_Upper_Limit,AA_Ever_Married_Women_Aged_15_49_Years_Rural,TT_Children_Who_Did_Not_Receive_Any_Vaccination_Total,AA_Ever_Married_Women_Aged_15_49_Years_Urban,LL_Natural_Growth_Rate_Total,ZZ_Crude_Birth_Rate_Rural_Upper_Limit,AA_Currently_Married_Women_Aged_15_49_Years_Total,TT_Children_Aged_12_23_Months_Who_Have_Received_Bcg_Total,AA_Currently_Married_Women_Aged_15_49_Years_Rural,TT_Children_Aged_12_23_Months_Who_Have_Received_Bcg_Rural,BB_Currently_Married_Illiterate_Women_Aged_15_49_Years_Rural,ZZ_Crude_Death_Rate_Total_Lower_Limit,AA_Children_12_23_Months_Total,TT_Children_Aged_12_23_Months_Who_Have_Received_3_Doses_Of_Polio_Vaccine_Total,ZZ_Crude_Death_Rate_Rural_Lower_Limit,TT_Children_Aged_12_23_Months_Who_Have_Received_3_Doses_Of_Polio_Vaccine_Rural,ZZ_Crude_Death_Rate_Rural_Upper_Limit,EE_Marriages_Among_Males_Below_Legal_Age_21_Years_Total,YY_Crude_Death_Rate_Cdr_Total_Person,RR_New_Borns_Who_Were_Checked_Up_Within_24_Hrs_Of_Birth_Rural,TT_Children_Aged_12_23_Months_Who_Have_Received_3_Doses_Of_Dpt_Vaccine_Total,YY_Crude_Death_Rate_Cdr_Total_Male
Farrukhabad,Uttar Pradesh,7.13,37,7.93,29,59.14,8.06,8,36.02,55.66,7.78,10364,8.1,6.51,8935,44.13,7.47,27.93,40.81,5.44,54111,23.18,24.29,7428,26.0,48.08,8992.0,48.72,27.6,7776.0,13.18,1216,18.46,29.67,8624.0,83.56,7496.0,81.82,53.52,6.92,2567,58.2,7.24,55.51,8.62,15.71,7.54,51.41,57.54,7.9
Sahibganj,Jharkhand,6.2,271,6.6,229,74.4,6.9,42,25.0,73.9,6.3,51689,2.0,5.0,47183,57.9,5.2,17.5,57.2,4.8,261780,22.0,23.0,23036,23.5,55.7,49915.0,17.7,24.1,45721.0,6.1,4194,17.1,24.9,46814.0,91.6,42876.0,91.0,65.3,6.3,11814,70.7,6.5,70.0,6.8,17.3,6.5,47.7,71.6,6.7
Fatehpur,Uttar Pradesh,6.45,46,7.34,39,70.68,8.0,7,57.56,70.4,6.63,11582,4.81,5.52,10522,51.47,6.03,47.76,50.4,4.97,60209,16.26,16.58,5293,22.87,59.27,9722.0,43.63,23.94,8831.0,5.78,891,15.73,24.39,9268.0,91.08,8441.0,90.87,51.02,6.62,2382,65.53,6.78,65.1,7.91,9.12,7.14,62.29,65.48,7.78
Barabanki,Uttar Pradesh,7.77,46,7.89,39,74.51,7.91,7,59.48,74.12,7.87,11232,0.5,4.93,10594,43.91,3.56,50.46,42.2,6.52,58722,16.08,16.28,3761,25.46,57.16,9735.0,48.51,26.44,9149.0,7.11,586,17.79,26.86,9388.0,92.55,8835.0,92.44,60.86,7.12,2704,53.71,7.31,52.25,8.47,24.44,7.66,66.6,68.3,7.57
Muzaffarpur,Bihar,8.9,72,8.8,62,86.1,8.2,10,51.9,86.1,9.3,21181,0.0,5.0,20284,64.2,5.7,36.1,65.0,4.3,107391,19.0,20.0,4252,24.9,44.5,19254.0,28.4,26.0,18445.0,2.3,809,16.5,26.8,18748.0,96.6,17967.0,96.5,49.2,8.0,3555,82.3,8.3,82.8,9.2,13.7,8.5,52.3,75.4,8.0
Bareilly,Uttar Pradesh,8.73,67,9.39,38,54.05,9.3,29,43.19,52.78,9.49,13678,8.38,7.38,9155,41.38,7.36,25.29,39.1,7.4,78492,26.38,30.09,25596,25.86,76.7,12703.0,70.75,26.93,8489.0,4.32,4214,17.2,30.02,12151.0,84.28,8199.0,82.96,68.83,8.08,3618,54.47,8.68,52.51,10.1,18.46,8.66,73.64,53.82,8.6
Kanker,Chhattisgarh,5.31,61,5.74,56,95.12,6.1,5,67.46,94.92,5.39,11799,6.78,4.09,11049,90.04,4.72,60.42,90.01,3.43,51645,18.76,19.02,3248,20.77,85.86,10568.0,43.63,21.98,9910.0,2.08,658,15.09,22.15,9511.0,97.64,8934.0,97.65,25.93,5.1,1478,93.02,5.14,93.01,6.35,4.59,5.68,83.41,92.64,6.04
Purbi Singhbhum,Jharkhand,4.8,279,6.4,97,92.3,7.1,182,56.1,93.3,5.6,37470,1.5,4.8,16513,85.0,5.3,38.9,87.2,4.3,174472,8.0,10.0,99262,20.1,74.1,35135.0,19.3,20.7,15307.0,0.7,19828,14.7,24.1,32951.0,98.5,14287.0,98.2,52.0,5.2,5993,92.0,6.0,92.8,6.7,6.9,5.5,60.9,90.6,6.0
Panna,Madhya Pradesh,11.8,35,11.6,28,70.8,11.0,7,76.8,71.2,12.3,6539,11.9,9.4,5333,38.4,9.7,69.6,37.2,9.1,28645,23.81,24.83,5539,31.3,77.1,5264.0,39.5,33.4,4242.0,6.2,1022,20.0,35.3,5105.0,92.9,4125.0,92.8,47.3,10.4,1141,57.5,10.6,55.1,12.7,21.6,11.3,73.1,63.2,10.8
Bhadrak,Odisha,7.3,94,8.1,79,90.13,8.8,15,82.48,90.34,7.4,19043,3.04,6.6,17374,83.46,6.6,71.83,83.35,6.7,90758,17.0,18.0,8827,20.2,84.19,18062.0,53.66,21.0,16404.0,0.61,1658,12.3,20.9,17247.0,99.07,15704.0,99.23,18.37,7.5,3345,93.41,7.7,93.61,8.4,1.95,7.9,84.0,90.27,8.5
Siddharthnagar,Uttar Pradesh,10.2,58,11.23,54,57.95,12.39,4,29.52,57.56,10.3,9919,6.29,8.81,9517,51.42,10.47,21.71,50.91,7.2,56238,17.49,17.32,2482,37.54,79.63,10203.0,68.29,39.37,9869.0,13.84,334,26.38,39.68,9894.0,76.38,9576.0,76.27,65.39,10.47,3219,62.28,10.53,61.95,11.93,38.38,11.16,79.21,58.17,12.33
Almora,Uttarakhand,4.44,192,6.14,173,93.91,8.04,19,46.84,93.75,4.51,27360,4.8,4.61,25188,87.28,5.78,42.76,87.13,3.42,120657,5.52,5.62,8649,15.78,53.91,22598.0,75.74,16.46,20916.0,1.42,1682,9.74,16.84,21140.0,97.13,19579.0,97.05,14.35,5.72,3664,93.7,5.81,93.55,6.48,2.21,6.04,52.59,93.72,7.87
Ballia,Uttar Pradesh,7.77,56,8.39,47,78.67,8.67,9,56.33,79.21,8.11,15606,7.07,6.08,14265,71.03,7.15,38.61,71.54,4.88,87623,16.5,16.1,7479,24.27,79.99,14713.0,67.04,25.77,13511.0,5.09,1202,16.14,26.75,14210.0,89.08,13053.0,89.21,45.32,7.63,3076,79.55,7.86,79.48,8.91,15.52,8.13,79.8,76.52,8.49
Kanpur Nagar,Uttar Pradesh,5.72,136,7.2,33,75.12,7.25,103,65.25,84.57,7.15,29525,7.46,5.66,8432,59.25,5.99,54.85,72.51,5.28,144182,12.29,17.17,103699,17.17,69.25,25352.0,33.81,17.9,6444.0,8.3,18908,11.14,21.61,24139.0,89.43,6192.0,96.62,34.25,5.72,4432,73.24,6.63,82.89,7.77,4.53,6.03,76.48,72.43,6.29
Patna,Bihar,4.9,128,4.9,61,82.4,4.8,67,73.3,79.3,5.0,26624,4.7,4.6,17158,76.0,4.3,49.7,74.1,4.9,141204,14.0,16.0,47517,21.1,79.8,26935.0,18.7,22.2,17868.0,1.6,9067,16.4,25.9,25872.0,97.4,17230.0,97.3,57.1,4.3,5352,87.8,4.5,87.7,5.2,20.5,4.7,57.7,86.6,4.5
Deoghar,Jharkhand,3.8,67,4.5,54,72.1,5.1,13,35.1,71.6,3.8,10177,1.8,3.8,8261,56.3,3.5,23.0,55.5,4.0,54269,15.0,14.0,9661,21.7,64.6,11067.0,15.2,23.1,9159.0,5.6,1908,17.4,23.7,10598.0,90.1,8760.0,89.9,57.1,3.8,1815,68.8,3.8,68.4,5.1,22.4,4.3,60.0,71.4,4.8
Korba,Chhattisgarh,5.74,117,7.47,62,90.59,8.14,55,33.86,87.96,6.79,28153,7.85,4.56,16965,63.13,4.96,28.48,60.0,4.13,117747,9.95,11.5,48812,22.54,61.24,24064.0,42.96,23.31,13887.0,2.49,10177,16.23,26.21,22278.0,97.03,12790.0,96.05,46.95,5.96,4277,70.74,6.96,68.49,7.99,9.58,6.31,41.33,68.96,6.86
Bokaro,Jharkhand,5.1,106,6.4,47,86.8,6.6,59,40.0,85.3,6.1,21645,1.4,4.6,13042,82.5,5.0,11.9,81.0,4.2,109548,8.0,8.0,43769,22.9,80.0,21646.0,14.9,23.7,13218.0,1.6,8428,17.5,27.6,20497.0,96.9,12471.0,96.5,53.8,5.1,4644,88.9,5.9,87.9,6.8,8.5,5.4,72.1,89.4,5.7
Chitrakoot,Uttar Pradesh,8.55,66,8.87,56,62.34,8.93,10,64.44,61.59,8.81,16937,6.18,6.54,15538,48.05,6.83,57.74,47.15,6.22,88832,22.29,22.11,6943,24.59,62.11,14998.0,43.58,25.87,13786.0,5.43,1212,15.96,26.95,14481.0,92.36,13336.0,91.96,64.44,8.1,3732,66.63,8.33,65.93,9.42,20.88,8.64,71.6,61.69,8.71
Tehri Garhwal,Uttarakhand,6.72,351,9.2,317,82.09,12.03,34,42.52,81.18,6.98,47792,9.07,5.94,42354,76.0,6.98,34.64,74.85,4.82,205575,14.77,15.68,23657,21.09,48.73,40347.0,75.38,21.66,35894.0,5.73,4453,12.35,22.37,38198.0,88.57,33893.0,87.61,40.37,8.45,6946,81.42,8.89,80.27,9.5,7.08,8.74,42.65,79.5,11.23
Pashchim Champaran,Bihar,8.9,35,8.4,29,75.0,8.1,6,60.7,74.5,8.7,9613,0.0,10.9,9106,53.9,10.6,43.4,52.9,11.3,49614,16.0,15.0,2501,28.0,57.6,8949.0,38.2,30.4,8498.0,5.5,451,19.4,31.2,8776.0,94.1,8337.0,93.9,77.9,8.0,2037,72.7,7.8,72.1,9.0,30.9,8.6,60.3,66.8,8.3
Jabalpur,Madhya Pradesh,5.1,99,6.0,33,87.5,6.4,66,81.1,81.4,5.6,17703,11.1,5.6,6046,70.5,6.2,74.0,63.3,4.8,77369,13.61,14.18,51451,21.4,86.1,14957.0,39.7,22.5,5137.0,4.3,9820,15.7,28.5,14245.0,95.5,4878.0,93.1,32.1,5.3,2180,83.8,5.3,80.0,6.7,6.2,5.7,73.2,79.7,6.3
Bilaspur,Chhattisgarh,6.4,90,7.29,60,85.75,7.51,30,24.08,86.32,7.06,25088,1.7,6.29,16995,68.89,7.44,18.49,70.49,5.07,106626,11.66,11.47,37024,25.58,62.76,21042.0,38.69,26.61,13790.0,2.87,7252,18.63,28.35,19553.0,96.39,12853.0,97.03,44.1,6.46,3430,87.86,6.63,89.99,7.95,11.79,6.96,52.83,77.35,7.49
Deoria,Uttar Pradesh,9.11,60,10.31,52,70.36,11.59,8,64.47,71.3,9.22,11641,11.49,9.38,10620,66.35,10.52,50.88,67.15,8.34,65914,16.05,15.71,5450,25.73,86.36,11974.0,63.18,27.05,10990.0,8.07,984,15.54,27.72,11616.0,86.84,10667.0,86.68,48.73,9.63,2827,76.61,9.73,77.39,10.88,11.44,10.19,85.61,75.67,11.45
Cuttack,Odisha,6.4,114,7.3,72,89.19,7.5,42,92.0,90.15,7.1,22317,4.84,5.2,17364,60.04,5.8,78.47,63.82,4.6,95013,21.0,24.0,21926,19.4,87.26,18720.0,64.16,20.3,14407.0,0.9,4313,12.6,20.5,17826.0,98.57,13713.0,98.7,13.87,6.3,2322,69.2,6.7,71.3,7.9,1.95,6.8,87.82,85.37,7.1
Gaya,Bihar,6.2,51,7.0,41,74.7,7.6,10,45.5,77.1,6.3,8931,3.4,6.2,7471,69.3,6.6,29.0,71.5,5.8,50695,21.0,21.0,8366,24.0,71.4,10001.0,12.6,25.0,8421.0,2.0,1580,17.2,26.4,9637.0,94.8,8119.0,95.4,58.2,6.2,2188,79.6,6.2,81.3,7.7,35.9,6.8,68.3,80.5,7.4
Araria,Bihar,7.6,48,7.5,43,67.2,7.3,5,45.7,66.8,7.7,16028,0.5,6.5,15342,59.9,6.5,37.0,59.9,6.5,81612,12.0,12.0,3613,30.6,49.8,14375.0,26.0,32.7,13745.0,5.2,630,23.2,33.2,13858.0,91.3,13248.0,91.0,70.8,6.9,3367,83.0,7.0,83.5,8.1,14.5,7.5,61.4,80.9,7.3
Banka,Bihar,5.3,68,5.6,63,81.5,5.8,5,64.9,81.7,5.4,16677,0.5,5.5,16131,65.7,5.8,52.3,65.9,5.2,81445,16.0,15.0,2756,25.1,71.6,15734.0,13.5,26.0,15207.0,1.7,527,19.5,26.0,15148.0,96.3,14633.0,96.2,60.0,5.3,3695,76.0,5.3,76.3,5.9,18.8,5.6,70.5,80.6,5.8
Seoni,Madhya Pradesh,8.4,43,9.2,36,91.0,9.9,7,85.2,90.7,8.5,8142,8.0,7.0,7162,65.1,6.5,74.2,63.5,7.4,35588,21.13,22.29,4476,25.8,82.2,7085.0,26.0,27.6,6209.0,2.6,876,16.8,28.2,6714.0,96.9,5886.0,96.7,31.8,8.1,1444,74.9,8.3,73.2,10.1,9.6,9.0,74.8,75.9,9.6
Churu,Rajasthan,5.3,51,6.0,32,88.9,6.9,19,69.0,88.7,5.1,9179,1.1,5.8,7609,81.5,5.9,57.9,80.6,5.8,50031,18.0,20.0,8538,23.0,72.8,10085.0,50.1,24.5,8393.0,7.2,1692,17.0,25.6,9858.0,91.9,8217.0,91.5,53.4,5.4,1208,87.1,5.5,86.5,6.6,30.8,6.0,70.4,85.8,6.6
Dumka,Jharkhand,6.3,83,6.7,75,81.8,7.1,8,26.3,81.6,6.4,11265,4.6,6.0,10339,72.7,6.3,18.2,72.3,5.6,55026,12.0,13.0,4390,25.4,67.8,11408.0,11.9,26.7,10492.0,3.0,916,18.7,27.3,10648.0,93.3,9798.0,93.1,58.7,6.2,2734,81.7,6.2,81.3,7.3,21.2,6.7,64.5,82.1,7.0
Sonbhadra,Uttar Pradesh,8.82,31,9.36,23,37.39,9.41,8,31.03,36.39,9.31,6838,8.72,5.03,5875,32.41,4.36,24.86,31.44,5.84,33562,16.52,17.52,4391,28.18,56.98,6290.0,50.99,30.26,5474.0,27.24,816,19.48,32.61,6077.0,60.93,5304.0,60.75,63.37,8.06,1702,39.9,8.66,38.95,10.06,22.16,8.7,51.48,39.2,8.59
Kanpur Dehat,Uttar Pradesh,9.1,38,9.14,34,79.74,8.9,4,54.99,81.09,9.4,10543,6.29,5.45,9861,61.93,5.53,46.04,62.44,5.4,50626,23.58,24.38,3371,19.69,73.71,8193.0,38.79,21.11,7637.0,6.73,556,10.86,21.59,7925.0,92.64,7389.0,93.5,37.24,7.95,1819,70.82,8.21,71.39,10.06,6.9,8.82,77.67,72.43,8.62
Raisen,Madhya Pradesh,7.6,39,8.6,29,86.7,8.7,10,76.4,85.9,8.5,5765,11.0,5.7,4014,53.2,6.4,70.4,53.8,4.8,27882,20.87,21.94,8127,26.9,79.4,5071.0,57.5,28.9,3551.0,3.8,1520,19.0,31.6,4908.0,95.6,3451.0,95.0,41.5,7.1,1102,77.8,7.6,78.2,9.5,13.7,7.9,71.9,64.8,8.1
Tonk,Rajasthan,7.2,55,8.4,39,75.5,8.7,16,80.5,73.6,8.1,12031,30.5,4.4,10063,53.7,4.7,65.8,48.7,4.2,61700,18.0,21.0,10973,22.7,79.9,12976.0,55.3,23.9,10794.0,3.0,2182,15.2,24.3,12402.0,95.3,10319.0,94.6,58.7,6.8,2137,63.7,7.6,58.6,9.3,41.6,7.5,75.9,60.4,7.8
Mahoba,Uttar Pradesh,6.69,52,7.4,36,77.23,8.07,16,70.98,80.68,6.64,13461,12.74,6.87,9820,67.38,6.93,65.63,68.35,6.79,63537,14.34,16.65,17564,24.54,74.22,10791.0,62.94,26.09,7820.0,1.49,2971,17.32,26.16,10396.0,97.18,7559.0,97.45,58.05,6.62,2493,81.69,6.66,81.8,8.13,19.36,7.23,80.89,78.94,7.7
Banswara,Rajasthan,6.6,44,7.3,39,90.2,7.9,5,83.0,90.0,6.8,10056,6.85,5.2,9575,84.8,7.1,74.2,84.6,3.2,50613,21.0,21.0,2193,30.0,85.2,9558.0,43.0,31.4,9088.0,4.6,470,22.8,32.2,9241.0,91.3,8789.0,90.9,72.2,6.7,2142,88.1,6.8,87.8,7.9,33.8,7.2,78.2,88.1,7.8
Goalpara,Assam,5.3,64,6.7,56,72.2,7.9,8,54.7,72.4,5.5,15891,0.4,5.9,14630,46.6,7.8,51.0,47.3,3.9,75890,15.0,16.0,5617,21.6,51.2,15297.0,97.5,23.1,14114.0,4.5,1183,15.0,23.5,14293.0,91.8,13201.0,91.8,29.9,6.3,3009,72.2,6.3,72.5,7.1,14.7,6.7,48.1,58.1,7.9
Kaushambi,Uttar Pradesh,10.08,49,10.88,43,55.08,11.55,6,60.31,56.09,10.24,13179,12.44,9.15,12195,46.9,10.04,52.81,47.88,8.28,67572,20.81,20.47,5134,29.23,91.37,11468.0,81.56,30.81,10649.0,21.09,819,18.48,31.21,10984.0,73.86,10226.0,74.69,65.88,9.89,3349,55.52,9.99,56.75,11.77,8.77,10.74,88.66,53.33,11.42
Rajnandgaon,Chhattisgarh,6.98,63,7.75,47,92.36,8.29,16,38.87,92.37,7.2,12470,7.19,6.67,9853,83.0,7.41,31.04,83.59,5.92,58000,10.73,11.52,11405,24.0,85.08,11824.0,41.26,25.03,9550.0,2.77,2274,16.43,26.37,10902.0,95.96,8831.0,95.82,28.08,6.96,1900,88.54,7.11,88.85,8.39,6.3,7.57,82.25,87.33,8.14
Hazaribagh,Jharkhand,4.1,98,4.5,67,86.9,4.8,31,49.5,86.6,4.2,22829,3.8,4.2,19252,70.6,4.6,28.1,70.2,3.8,124592,15.0,15.0,18794,19.9,75.1,24930.0,18.6,20.7,21400.0,1.8,3530,15.4,21.6,23816.0,97.2,20481.0,97.3,45.4,4.2,4328,80.1,4.2,80.2,4.7,13.5,4.4,68.8,82.4,4.7
Siwan,Bihar,6.8,101,7.4,92,91.0,7.9,9,57.8,91.3,7.0,25888,0.6,6.3,23838,76.6,6.7,39.7,75.9,5.9,148425,11.0,11.0,11261,25.5,46.2,24853.0,45.6,26.4,22856.0,4.4,1997,18.2,27.1,24313.0,95.0,22391.0,95.3,54.6,6.9,4584,86.1,7.0,85.7,7.9,13.7,7.3,66.3,82.9,7.8
Begusarai,Bihar,5.7,56,6.0,52,78.0,6.3,4,66.6,77.1,5.8,18320,0.5,4.9,17683,65.2,5.4,51.0,63.8,4.4,92242,17.0,17.0,3229,25.8,69.8,17631.0,12.4,26.9,17010.0,1.6,621,19.9,27.3,17080.0,96.9,16485.0,96.9,50.4,5.5,3903,80.0,5.6,79.2,6.5,20.5,5.9,55.8,81.0,6.2
Bhopal,Madhya Pradesh,4.5,111,7.4,16,85.5,8.6,95,86.3,94.0,6.0,16609,7.1,5.3,2443,71.9,6.2,77.3,88.2,4.3,76043,18.5,16.82,64321,18.6,90.3,15194.0,62.7,19.9,2178.0,2.1,13016,13.1,26.7,14449.0,97.7,2084.0,97.5,45.8,5.1,2614,79.1,6.0,89.4,8.7,6.6,5.6,87.8,81.8,6.6
Ganjam,Odisha,7.6,67,8.5,50,85.6,9.3,17,86.44,84.68,7.7,14175,4.18,7.4,12234,43.06,7.8,75.08,42.41,7.0,61213,21.0,23.0,8557,18.9,86.76,12646.0,61.56,19.9,10913.0,1.17,1733,10.6,20.2,11737.0,97.72,10113.0,97.43,38.52,7.7,1396,64.5,7.8,64.22,9.1,2.44,8.3,85.1,69.79,9.1
Sibsagar,Assam,6.7,50,8.2,43,93.4,9.5,7,86.5,93.5,6.8,12855,1.3,6.6,11951,83.5,8.2,68.1,83.4,4.8,57972,19.0,19.0,3758,19.0,88.3,11316.0,72.1,19.9,10581.0,0.8,735,11.0,20.1,10573.0,98.0,9881.0,98.0,25.9,7.5,1954,88.4,7.6,88.3,8.8,6.2,8.1,83.8,92.0,9.4
Lohardaga,Jharkhand,7.7,107,8.3,87,93.9,8.8,20,50.9,94.1,7.8,22851,1.2,6.8,20510,88.1,7.0,37.8,88.2,6.7,118200,14.0,15.0,11978,27.0,62.6,20995.0,25.0,27.6,18815.0,1.2,2180,18.8,28.6,19514.0,97.6,17456.0,97.5,52.5,7.8,5394,91.3,8.0,91.1,8.7,15.6,8.1,57.2,91.2,8.6
West Nimar,Madhya Pradesh,9.6,100,11.7,78,86.7,13.4,22,81.4,86.7,10.0,22342,4.5,9.1,18756,68.1,10.8,76.5,67.2,7.4,104827,21.94,21.9,16817,25.6,79.2,21419.0,57.6,26.9,18008.0,0.8,3411,14.3,27.8,20461.0,98.6,17271.0,98.5,54.0,10.5,4040,78.8,10.9,78.2,12.6,18.5,11.3,75.4,83.2,12.9
Jalor,Rajasthan,6.3,56,7.4,49,70.2,8.5,7,59.3,69.3,6.5,13963,5.8,5.8,13191,65.7,6.6,37.7,65.3,4.9,72994,20.0,20.0,3998,27.1,69.7,13989.0,56.1,28.5,13204.0,8.0,785,19.8,29.3,13524.0,79.2,12769.0,78.9,75.2,6.7,3468,73.4,6.8,72.9,8.1,25.5,7.3,65.8,72.3,8.3
Dibrugarh,Assam,6.3,91,7.9,66,93.1,9.0,25,79.3,92.7,6.9,21378,0.6,5.8,16514,82.3,7.1,55.4,81.5,4.5,97268,17.0,15.0,20835,19.2,81.7,19376.0,66.3,19.9,15084.0,0.9,4292,11.8,21.1,18037.0,97.5,14064.0,97.3,33.2,7.0,3509,90.6,7.5,89.8,8.4,7.8,7.4,77.1,88.0,8.5
Sagar,Madhya Pradesh,8.3,47,9.8,29,77.1,10.1,18,65.2,74.0,9.4,9413,5.8,7.3,6091,55.0,8.2,54.9,49.8,6.3,41729,12.73,15.64,15154,27.7,67.0,8003.0,26.8,29.4,5122.0,5.2,2881,18.8,32.9,7608.0,93.5,4902.0,92.7,32.2,8.2,1859,72.4,8.9,70.1,10.6,14.1,8.9,63.4,73.2,9.4
Jhansi,Uttar Pradesh,5.77,60,7.27,29,81.47,7.75,31,72.98,77.97,6.72,16295,7.67,5.54,9038,72.48,6.15,62.03,68.31,4.84,73590,12.02,15.75,33856,18.92,76.45,14264.0,51.72,20.02,7860.0,3.65,6404,12.52,23.48,13775.0,95.41,7641.0,94.08,49.48,5.78,2569,83.79,6.76,81.22,7.78,16.81,6.39,72.6,84.7,6.94
