State_Name,YY_Crude_Death_Rate_Cdr_Total_Female,AA_Sample_Units_Total,YY_Crude_Death_Rate_Cdr_Rural_Person,AA_Sample_Units_Rural,TT_Children_Aged_12_23_Months_Who_Have_Received_Measles_Vaccine_Total,YY_Crude_Death_Rate_Cdr_Rural_Male,AA_Sample_Units_Urban,QQ_Institutional_Delivery_Rural,TT_Children_Aged_12_23_Months_Who_Have_Received_Measles_Vaccine_Rural,YY_Crude_Death_Rate_Cdr_Rural_Female,AA_Households_Total,VV_Children_Who_Received_Foods_Other_Than_Breast_Milk_During_First_6_Months_Vegetables_Fruits_Urban,YY_Crude_Death_Rate_Cdr_Urban_Person,AA_Households_Rural,TT_Children_Aged_12_23_Months_Fully_Immunized_Total,YY_Crude_Death_Rate_Cdr_Urban_Male,QQ_Delivery_At_Government_Institution_Rural,TT_Children_Aged_12_23_Months_Fully_Immunized_Rural,YY_Crude_Death_Rate_Cdr_Urban_Female,AA_Population_Total,YY_Post_Neo_Natal_Mortality_Rate_Total,YY_Post_Neo_Natal_Mortality_Rate_Rural,AA_Population_Urban,LL_Crude_Birth_Rate_Cbr_Total,RR_Mothers_Who_Received_Post_Natal_Check_Up_Within_48_Hrs_Of_Delivery_Total,AA_Ever_Married_Women_Aged_15_49_Years_Total,PP_Mothers_Who_Received_Anc_From_Govt_Source_Total,ZZ_Crude_Birth_Rate_Total_Upper_Limit,AA_Ever_Married_Women_Aged_15_49_Years_Rural,TT_Children_Who_Did_Not_Receive_Any_Vaccination_Total,AA_Ever_Married_Women_Aged_15_49_Years_Urban,LL_Natural_Growth_Rate_Total,ZZ_Crude_Birth_Rate_Rural_Upper_Limit,AA_Currently_Married_Women_Aged_15_49_Years_Total,TT_Children_Aged_12_23_Months_Who_Have_Received_Bcg_Total,AA_Currently_Married_Women_Aged_15_49_Years_Rural,TT_Children_Aged_12_23_Months_Who_Have_Received_Bcg_Rural,BB_Currently_Married_Illiterate_Women_Aged_15_49_Years_Rural,ZZ_Crude_Death_Rate_Total_Lower_Limit,AA_Children_12_23_Months_Total,TT_Children_Aged_12_23_Months_Who_Have_Received_3_Doses_Of_Polio_Vaccine_Total,ZZ_Crude_Death_Rate_Rural_Lower_Limit,TT_Children_Aged_12_23_Months_Who_Have_Received_3_Doses_Of_Polio_Vaccine_Rural,ZZ_Crude_Death_Rate_Rural_Upper_Limit,EE_Marriages_Among_Males_Below_Legal_Age_21_Years_Total,YY_Crude_Death_Rate_Cdr_Total_Person,RR_New_Borns_Who_Were_Checked_Up_Within_24_Hrs_Of_Birth_Rural,TT_Children_Aged_12_23_Months_Who_Have_Received_3_Doses_Of_Dpt_Vaccine_Total,YY_Crude_Death_Rate_Cdr_Total_Male,YY_Infant_Mortality_Rate_Imr_Total_Person,State_District_Name
Assam,7.1,163,8.2,123,90.3,9.1,40,80.3,90.3,7.3,39114,1.5,7.1,30471,70.9,7.9,69.0,71.8,6.4,172958,11.0,11.0,36603,19.3,80.5,34941.0,72.5,19.9,27355.0,1.3,7586,11.4,20.6,32640.0,96.8,25582.0,96.8,29.0,7.6,5966,81.0,7.8,81.6,8.7,6.7,7.9,80.1,83.7,8.8,50.0,Jorhat
Assam,4.7,151,7.4,80,88.4,8.1,71,82.1,87.1,6.5,39488,1.3,3.9,20987,64.6,4.7,74.9,59.1,3.0,167282,14.0,22.0,69962,17.8,82.1,32678.0,79.5,18.5,18831.0,1.3,13847,12.2,22.0,30506.0,97.8,17585.0,97.9,25.2,5.1,4709,75.1,6.7,69.4,8.1,4.7,5.6,78.5,77.5,6.4,39.0,Kamrup
Assam,6.1,89,7.3,74,85.2,8.2,15,54.6,83.9,6.4,13588,1.7,6.4,10568,71.8,7.6,51.2,72.9,5.1,66160,22.0,25.0,14079,20.8,60.8,12141.0,87.5,21.8,9530.0,6.0,2611,13.7,22.9,11375.0,91.0,8954.0,89.3,30.0,6.6,2398,76.5,6.7,77.5,8.0,8.6,7.1,54.7,79.4,8.1,60.0,Karbi Anglong
Assam,6.5,29,7.1,25,73.8,7.6,4,36.7,74.0,6.6,6691,1.1,5.8,6293,65.4,6.6,30.4,65.3,4.5,31888,21.0,21.0,1826,25.6,42.4,5856.0,50.1,28.5,5496.0,7.2,360,18.7,29.2,5314.0,88.5,4975.0,88.1,26.6,5.8,1491,73.8,5.9,73.5,8.3,6.4,7.0,36.4,73.2,7.4,65.0,Karimganj
Assam,7.0,25,7.8,22,85.3,8.4,3,57.5,84.9,7.2,3944,1.1,5.4,3553,59.2,5.2,56.0,58.7,5.6,19029,31.0,32.0,1745,22.5,58.7,3614.0,96.6,24.6,3246.0,2.5,368,14.9,25.2,3359.0,96.2,3015.0,96.0,48.2,6.4,623,79.2,6.5,78.5,9.1,11.7,7.6,53.6,72.9,8.1,74.0,Kokrajhar
Assam,5.5,32,7.0,28,87.6,8.1,4,85.4,87.7,5.9,5823,1.1,4.3,4991,64.2,5.8,81.1,64.2,2.7,28713,15.0,15.0,3813,23.3,84.5,5549.0,91.4,25.4,4801.0,1.6,748,16.6,26.0,5187.0,98.1,4482.0,97.9,27.4,5.8,1463,79.5,6.0,79.4,8.1,9.5,6.7,81.5,78.1,7.9,48.0,Lakhimpur
Assam,7.4,115,8.1,106,82.8,8.7,9,67.8,82.6,7.6,27372,0.4,6.0,26186,66.2,7.2,64.3,66.0,4.7,136270,22.0,22.0,5128,23.0,57.9,25933.0,96.2,23.8,24805.0,3.2,1128,14.9,24.1,24292.0,93.8,23252.0,93.6,22.9,7.4,5704,82.6,7.5,82.5,8.7,10.8,8.0,57.6,84.6,8.6,63.0,Marigaon
Assam,6.7,71,8.3,58,68.5,9.4,13,54.4,68.1,7.1,18952,1.6,6.8,16291,52.5,8.5,47.2,51.8,5.1,88124,22.0,24.0,11073,23.7,59.7,17232.0,71.2,25.1,14962.0,5.7,2270,15.7,26.6,15976.0,89.2,13869.0,88.1,29.2,7.3,3941,74.9,7.5,75.1,9.0,8.8,8.0,56.0,69.1,9.2,62.0,Nagaon
Assam,6.3,22,7.4,20,88.0,8.4,2,87.3,88.0,6.4,4966,1.1,3.9,4627,68.0,5.5,74.0,67.8,2.3,22760,12.0,12.0,1480,18.5,86.1,4522.0,83.6,20.0,4236.0,1.6,286,11.2,20.2,4288.0,98.0,4023.0,98.0,17.9,6.6,784,78.6,6.7,78.4,8.1,4.4,7.3,86.8,87.8,8.3,58.0,Nalbari
Assam,5.0,84,7.1,49,75.5,7.8,35,56.0,70.4,6.2,10127,1.6,4.4,4266,56.2,4.7,53.9,57.1,4.0,44787,21.0,25.0,25469,18.3,66.6,7946.0,92.6,19.6,3182.0,5.9,4764,12.7,21.8,7412.0,91.6,3021.0,87.2,27.1,5.1,1312,65.8,6.1,67.2,8.0,5.4,5.6,46.0,64.8,6.2,54.0,North Cachar Hills
